set_id,set_version,query_text,probe_run_id,page_index,raw_snapshot_id,source_field_path,total_games_count,missing_reason
mystery-unboxing-collection-sweep-v1--collection,1,коллекция,probe:bef4e89526a048e7ba9643abb57db638,0,20260901T062504815866Z-27d338d96f,$.totalGamesCount,479,
mystery-unboxing-collection-sweep-v1--collection,1,коллекция,probe:bef4e89526a048e7ba9643abb57db638,1,20260901T062505079807Z-8a68606378,$.totalGamesCount,479,
mystery-unboxing-collection-sweep-v1--collection,1,коллекция,probe:bef4e89526a048e7ba9643abb57db638,2,20260901T062505338366Z-3ba844edc8,$.totalGamesCount,479,
mystery-unboxing-collection-sweep-v1--collect-all,1,collect them all,probe:f1041cc9a349478386ded2237afd7b8a,0,20260901T062504900326Z-8ec3f7481a,$.totalGamesCount,476,
mystery-unboxing-collection-sweep-v1--collect-all,1,collect them all,probe:f1041cc9a349478386ded2237afd7b8a,1,20260901T062505217625Z-0faabf6967,$.totalGamesCount,476,
mystery-unboxing-collection-sweep-v1--collect-all,1,collect them all,probe:f1041cc9a349478386ded2237afd7b8a,2,20260901T062505488297Z-2cefb007c3,$.totalGamesCount,476,
mystery-unboxing-collection-sweep-v1--collect-all,1,собери всех,probe:320606d495e34cfda1220c32c2b34286,0,20260901T062505013178Z-7411ca8a70,$.totalGamesCount,480,
mystery-unboxing-collection-sweep-v1--collect-all,1,собери всех,probe:320606d495e34cfda1220c32c2b34286,1,20260901T062505258874Z-dfe2bfa3a1,$.totalGamesCount,480,
mystery-unboxing-collection-sweep-v1--collect-all,1,собери всех,probe:320606d495e34cfda1220c32c2b34286,2,20260901T062505553802Z-3193ec0a89,$.totalGamesCount,480,
mystery-unboxing-collection-sweep-v1--collect-all,1,собери всю коллекцию,probe:b4fd6b4ccc8d4eb38fdb5200eaac2e64,0,20260901T062505096683Z-64c309dcb6,$.totalGamesCount,472,
mystery-unboxing-collection-sweep-v1--collect-all,1,собери всю коллекцию,probe:b4fd6b4ccc8d4eb38fdb5200eaac2e64,1,20260901T062505355655Z-b65cfbca88,$.totalGamesCount,472,
mystery-unboxing-collection-sweep-v1--collect-all,1,собери всю коллекцию,probe:b4fd6b4ccc8d4eb38fdb5200eaac2e64,2,20260901T062505602560Z-bb2f842934,$.totalGamesCount,472,
mystery-unboxing-collection-sweep-v1--rarity,1,rarity,probe:8386f80f357e418797db2c4817dfec42,0,20260901T062506171815Z-5c1a13272a,$.totalGamesCount,355,
mystery-unboxing-collection-sweep-v1--rarity,1,rarity,probe:8386f80f357e418797db2c4817dfec42,1,20260901T062506424439Z-4bb4c2525f,$.totalGamesCount,355,
mystery-unboxing-collection-sweep-v1--rarity,1,rarity,probe:8386f80f357e418797db2c4817dfec42,2,20260901T062506688656Z-fab80e1a4c,$.totalGamesCount,355,
mystery-unboxing-collection-sweep-v1--rarity,1,редкость,probe:276ce4f718d34babac6d32eab59e80f1,0,20260901T062506483477Z-ab777a54d0,$.totalGamesCount,353,
mystery-unboxing-collection-sweep-v1--rarity,1,редкость,probe:276ce4f718d34babac6d32eab59e80f1,1,20260901T062506757029Z-adb1f6414c,$.totalGamesCount,353,
